Chain	Z	rmsd	lali	nres	%id
3pqb-B	39.4	2.4	435	493	24
3pqb-C	39.4	2.5	437	493	24
3pop-C	39.4	2.5	437	493	24
3pop-B	39.4	2.5	437	493	24
2y3r-C	39.4	2.5	438	492	27
2y3r-A	39.4	2.5	437	492	27
3pqb-D	39.4	2.3	430	491	23
5i1v-A	39.2	2.4	440	498	26
5i1v-B	39.2	2.4	440	498	26
2y4g-A	39.1	2.5	441	500	27
2y4g-B	39	2.5	440	500	26
2y08-A	38.8	2.5	440	498	27
2y08-B	38.6	2.5	440	500	27
2ipi-A	38.5	2.5	435	492	26
2ipi-C	38.4	2.5	434	492	26
2ipi-D	38.4	2.6	435	492	26
2ipi-B	38.2	2.5	435	492	26
2bvf-A	38.1	2.5	432	453	22
2wdx-D	38	2.6	435	498	26
2wdx-A	38	2.6	434	498	26
5awv-A	38	2.6	435	498	26
2bvg-B	38	2.5	431	453	23
2bvg-D	38	2.5	431	453	23
2bvh-B	38	2.5	431	453	23
2bvh-C	38	2.5	430	453	23
2bvg-C	38	2.5	431	453	23
2bvg-A	38	2.5	431	453	23
2bvf-B	38	2.5	432	453	22
2bvh-A	38	2.5	431	453	23
2bvh-D	38	2.5	431	453	23
2wdw-A	37.9	2.6	434	498	26
5awv-D	37.9	2.6	435	498	26
5awv-B	37.9	2.6	435	498	26
2wdx-B	37.9	2.6	434	498	26
5awv-C	37.8	2.6	433	498	26
2wdx-C	37.8	2.6	434	498	26
2wdw-B	37.8	2.6	434	498	26
4mla-B	30.4	3.1	407	460	16
4oal-A	30.3	3.1	400	444	16
5hmr-A	30.2	3.1	404	447	15
4oal-B	30.2	3	402	444	15
5hhz-A	29.7	3.2	408	457	15
5hqx-A	29.5	3.2	405	460	16
4mla-A	29.4	3.1	420	477	15
1w1s-A	29.4	3.1	415	479	15
1w1q-A	29.3	3.2	415	479	15
4ml8-D	29.2	3.1	420	479	15
3s1d-A	29.2	3.2	423	498	14
1w1o-A	29.2	3.2	414	479	15
1w1r-A	29.2	3.1	413	479	15
4o95-A	29	3.3	411	467	15
4ml8-A	28.9	3.2	413	488	16
4ml8-C	28.9	3.1	423	488	15
4ml8-B	28.9	3.1	422	487	15
3bw7-A	28.7	3.3	424	497	14
2exr-A	28.6	3.2	413	491	16
3c0p-A	28.6	3.3	424	496	15
3dq0-A	28.6	3.3	425	498	15
2qkn-A	28.6	3.3	424	496	15
2qpm-A	28.6	3.3	424	496	15
3kjm-A	28.6	3.3	426	496	15
3s1c-A	28.4	3.2	423	498	15
3s1e-A	28.3	3.2	425	499	15
2q4w-A	28.3	3.3	417	491	16
3s1f-A	28.2	3.2	423	498	14
2vfu-A	27.2	3.1	374	414	12
2vft-A	27.1	3.1	375	415	12
2vfs-A	27.1	3.1	373	414	12
2vfr-A	27	3.2	378	418	12
2vfv-A	27	3.2	378	418	12
4kw5-A	26.9	3.6	370	426	14
4p8m-B	26.8	3.6	369	406	13
4ff6-A	26.8	3.7	372	423	15
4aut-A	26.7	3.7	378	419	13
4f4q-A	26.6	3.7	373	412	14
4pfd-B	26.6	3.7	372	410	13
4fdp-A	26.6	3.7	372	425	13
4pfa-A	26.5	3.7	370	427	14
4p8k-A	26.4	3.8	374	448	14
4pfd-A	26.4	3.7	378	427	13
4p8k-B	26.4	3.6	373	419	14
4p8l-B	26.4	3.7	375	419	14
4kw5-B	26.4	3.7	374	415	13
4fdp-B	26.3	3.8	374	415	14
4p8y-B	26.3	3.8	373	416	13
4p8m-A	26.2	3.7	373	427	14
4p8c-B	26.2	3.7	371	417	14
4ff6-B	26.2	3.7	374	414	13
4feh-A	26.1	3.8	375	419	13
4pfa-B	26.1	3.7	369	416	14
4p8h-B	26.1	3.7	366	416	14
4ncr-B	26.1	3.8	368	413	14
4fdo-A	26	3.8	377	426	13
4p8p-B	26	3.7	370	420	14
4p8n-B	26	3.7	370	419	14
4fdn-A	26	3.8	373	418	13
4p8t-B	25.8	3.7	370	419	14
4p8h-A	25.8	3.7	366	413	14
4ncr-A	25.7	3.7	371	428	13
4p8c-A	25.3	3.7	379	448	13
4p8p-A	25.1	3.7	378	450	14
4p8n-A	24.9	3.7	378	454	14
4p8y-A	24.9	3.7	380	455	13
4p8t-A	24.7	3.8	380	456	13
4p8l-A	24.6	3.6	374	457	14
3pm9-C	22.6	3.6	385	465	16
3pm9-E	22.6	3.6	385	465	16
3pm9-F	22.6	3.6	384	465	16
3pm9-D	22.6	3.6	384	465	16
3pm9-A	22.5	3.6	383	465	16
3pm9-B	22.5	3.6	385	465	16
1i19-A	21.9	3.5	404	541	10
1i19-B	21.9	3.5	404	538	10
2i0k-A	21.8	3.4	402	536	10
4g3u-B	21.7	4	311	346	17
4g3u-A	21.7	4.1	313	346	16
4g3t-A	21.7	4.1	304	336	15
3js8-A	21.6	3.6	401	538	9
1dii-A	20.8	3.7	413	515	15
5ae1-B	20.8	3.7	402	539	16
5fxe-B	20.8	3.7	411	525	14
5fxf-B	20.8	3.7	412	525	14
1wve-A	20.8	3.7	412	515	15
1wve-B	20.8	3.7	412	515	15
1dii-B	20.8	3.7	413	515	15
5ae3-A	20.8	3.7	402	539	16
5fxd-A	20.7	3.7	409	525	14
4bby-B	20.7	3.6	402	543	16
5adz-B	20.7	3.6	402	542	16
4bca-B	20.7	3.6	403	543	16
5ae2-B	20.7	3.6	402	542	16
5ae3-B	20.7	3.6	402	539	16
5fxp-B	20.7	3.7	412	525	14
5fxd-B	20.7	3.7	411	525	14
5fxe-A	20.7	3.7	411	525	14
5fxf-A	20.7	3.7	411	525	14
5fxp-A	20.7	3.7	411	525	14
1diq-B	20.7	3.8	413	515	15
1wvf-A	20.7	3.8	411	515	15
1diq-A	20.7	3.8	413	515	15
5ae1-D	20.6	3.7	402	564	16
4bc9-B	20.6	3.7	401	542	16
4bca-D	20.5	3.6	399	550	16
4bc7-B	20.5	3.7	402	543	16
4bc7-D	20.4	3.7	402	550	15
4bca-A	20.3	3.7	404	555	16
5adz-D	20.3	3.6	402	552	16
4bc9-C	20.3	3.7	404	552	16
4bby-D	20.3	3.7	403	550	16
5ae3-C	20.3	3.7	403	551	15
5ae2-D	20.3	3.7	402	550	16
5ae3-D	20.3	3.7	402	547	16
4bc7-A	20.3	3.7	404	555	15
4bc9-A	20.3	3.7	402	555	16
4bc9-D	20.3	3.7	403	550	16
4bby-C	20.2	3.7	403	557	16
4bca-C	20.2	3.6	403	557	16
4bby-A	20.2	3.7	403	555	16
5adz-C	20.1	3.7	402	557	16
5ae2-A	20	3.7	402	561	16
5ae1-A	20	3.7	402	560	16
5ae1-C	20	3.7	402	559	16
4bc7-C	20	3.7	402	557	16
5ae2-C	20	3.7	402	557	16
5adz-A	19.9	3.7	402	566	16
1qlu-B	19.7	3.7	406	550	14
1qlt-A	19.6	3.7	408	550	14
1qlu-A	19.6	3.7	408	550	14
1e8f-B	19.6	3.7	409	545	14
1qlt-B	19.6	3.7	408	550	14
1e8f-A	19.6	3.7	409	545	14
2uuv-A	19.6	3.6	382	523	14
1ahu-A	19.5	3.8	410	555	14
1e8h-A	19.5	3.7	409	545	14
1e8h-B	19.5	3.8	409	545	14
1ahu-B	19.5	3.8	413	555	14
1w1j-A	19.5	3.7	405	550	14
1vao-B	19.5	3.7	408	550	14
1e8g-A	19.5	3.8	408	550	14
1w1k-A	19.4	3.7	405	550	14
1e8g-B	19.4	3.7	407	550	14
1w1j-B	19.4	3.7	406	550	14
1vao-A	19.4	3.7	408	550	14
1dzn-A	19.4	3.7	408	550	14
1e0y-A	19.4	3.7	408	550	14
1w1l-A	19.4	3.7	405	550	14
1w1k-B	19.4	3.7	405	550	14
1dzn-B	19.4	3.7	408	550	14
1w1l-B	19.4	3.7	406	550	14
1e0y-B	19.4	3.7	409	549	15
2uuv-C	19.3	3.6	362	491	13
2vao-B	19.3	3.9	414	555	14
2vao-A	19.3	3.9	414	555	14
1ahv-B	19.3	3.9	415	555	14
1w1m-A	19.3	3.7	405	550	14
1w1m-B	19.3	3.7	406	550	14
2uuu-B	19.3	3.6	387	540	14
2uuv-B	19.3	3.7	380	523	14
1ahv-A	19.2	3.8	412	555	14
1ahz-A	19.2	3.8	415	555	14
1ahz-B	19.2	3.8	414	555	14
2uuu-D	19.1	3.7	385	537	14
2uuu-A	18.9	3.7	387	550	13
2uuv-D	18.9	3.5	374	528	14
2uuu-C	18.9	3.7	384	541	14
1f0x-A	18	3.5	363	502	10
1f0x-B	18	3.7	368	502	10
1hsk-A	16.5	3.5	254	303	13
4pyt-A	16.4	3.3	252	302	14
3tx1-A	15.5	3.5	246	295	12
4jay-C	15.4	3.7	264	338	9
4jay-D	15.4	3.6	263	338	10
4jay-A	15.4	3.6	264	338	9
4jay-B	15.4	3.6	265	338	9
4jb1-A	15.3	3.6	263	337	10
3i99-A	14.9	3.3	259	340	8
5jzx-B	14.9	3.6	256	327	13
1mbt-A	14.8	3.6	262	340	10
2mbr-A	14.8	3.5	257	340	11
2q85-A	14.8	3.7	264	341	11
5jzx-E	14.8	3.5	249	313	13
1mbb-A	14.7	3.6	257	340	11
1uxy-A	14.7	3.6	258	340	12
5jzx-C	13.9	3.7	261	355	13
5jzx-D	13.9	3.6	261	353	13
5jzx-F	13.7	3.8	253	339	13
5jzx-A	13.2	3.6	260	364	13
2gqu-A	12.8	3.6	222	266	14
2gqt-A	12.7	3.4	220	267	14
2yvs-A	8.9	3.7	179	219	14
2yvs-B	8.9	3.6	179	219	14
2od4-B	6.7	3.6	86	101	9
4npo-A	6.7	3.4	83	102	8
3nvy-B	6.5	4.5	173	334	10
3nvw-B	6.5	4.5	173	334	10
3nvw-K	6.5	4.5	172	305	10
3sr6-B	6.5	4.5	172	305	10
3rca-B	6.5	4.5	172	305	10
3sr6-K	6.5	4.6	172	305	10
3b9j-B	6.5	4.6	174	305	9
2pd1-A	6.5	2.8	81	103	9
2pd1-D	6.5	2.6	78	101	9
3e8o-B	6.5	3	82	101	9
1rm6-B	6.4	4.3	168	323	13
3nvv-B	6.4	4.5	173	334	10
3nvv-K	6.4	4.6	172	305	9
3nvy-K	6.4	4.6	173	305	9
3nrz-B	6.4	4.6	173	305	9
3nvz-B	6.4	4.6	171	305	9
3nrz-K	6.4	4.5	172	305	10
3rca-K	6.4	4.7	173	305	9
3nvz-K	6.4	4.6	171	305	9
3etr-M	6.4	4.6	174	305	9
3etr-B	6.4	4.6	173	305	9
3eub-B	6.4	4.6	175	304	9
1sb3-B	6.4	4.2	170	323	12
3b9j-J	6.4	4.6	174	305	9
2pd1-C	6.4	2.7	80	101	9
2pd1-B	6.4	2.8	80	100	9
1sb3-E	6.3	4.2	170	323	12
1rm6-E	6.3	4.3	168	323	13
1fiq-B	6.3	4.5	174	305	9
3eub-T	6.3	4.6	175	305	9
3eub-3	6.3	4.6	176	305	9
3eub-K	6.3	4.6	172	302	9
3fmb-A	6.3	3.1	82	103	11
2omo-H	6.3	2.8	81	99	1
3ns1-K	6.2	4.6	169	305	10
3e8o-A	6.2	3.2	82	102	9
4dpo-B	6.2	2.8	82	101	9
3fmb-B	6.2	3.2	82	103	11
2omo-G	6.2	2.9	81	99	1
2fb0-A	6.2	2.8	78	94	9
2okq-B	6.2	3.6	85	118	4
4zos-C	6.2	2.9	83	103	8
1t3q-C	6.1	4.2	165	285	13
3ns1-B	6.1	4.5	165	305	10
2od6-D	6.1	2.5	81	108	4
4zos-A	6.1	2.9	86	105	9
1mwq-A	6.1	2.7	79	99	6
3hrd-C	6	4.7	163	291	15
1y0h-A	6	3	81	101	4
4npo-B	6	3.2	84	105	8
2od6-B	6	2.5	81	108	4
2omo-C	6	4.2	84	104	1
1x7v-C	6	3.2	81	99	10
3qmq-D	6	3.1	80	99	8
4dn9-B	6	3.2	79	97	6
2omo-D	6	4.5	85	104	1
3hrd-G	5.9	4.8	165	292	14
1n62-C	5.9	6	162	286	14
2od6-C	5.9	2.6	81	107	4
4dpo-A	5.9	3	83	102	8
2omo-A	5.9	4.6	85	105	1
2qyc-B	5.9	3.3	80	102	10
3qmq-C	5.9	2.9	78	99	8
1x7v-A	5.9	2.8	78	98	10
2omo-B	5.9	4.5	83	105	1
1mwq-B	5.9	2.8	79	99	6
3qmq-A	5.9	2.8	79	97	5
2gff-A	5.9	2.9	79	97	4
1t3q-F	5.8	10.9	172	285	14
1n60-C	5.8	4.4	167	286	14
1n62-F	5.8	4.4	167	286	14
1n5w-C	5.8	4.4	169	287	13
2od4-A	5.8	3.1	82	101	10
2nzc-C	5.8	3	72	80	7
2dcl-C	5.8	3.1	79	97	5
2dcl-B	5.8	3.1	79	98	4
1y0h-B	5.8	2.8	79	98	4
4hl9-A	5.8	2.6	75	95	12
4hl9-G	5.8	2.7	76	95	12
4hl9-B	5.8	2.7	75	95	12
2gff-B	5.8	2.9	79	100	4
3bm7-A	5.8	5	83	106	10
5g5h-B	5.7	5.1	165	316	9
2nzc-D	5.7	4.2	75	82	7
5g5g-B	5.7	5.1	165	316	9
1zxi-F	5.7	4.3	166	286	13
1n63-F	5.7	4.4	166	286	13
2nzc-A	5.7	3	72	80	7
2od6-A	5.7	2.7	80	110	4
3bgu-B	5.7	3.2	83	104	4
3bb5-E	5.7	3.2	78	104	9
1iuj-A	5.7	2.9	72	102	4
3bb5-C	5.7	3.1	77	103	10
3bb5-F	5.7	3.1	78	103	10
4hl9-D	5.7	2.7	76	95	12
4hl9-H	5.7	2.7	75	95	12
4hl9-C	5.7	2.7	75	95	12
4hl9-F	5.7	2.7	75	95	12
3qmq-B	5.7	2.8	77	97	5
2omo-F	5.7	2.9	78	96	1
3m05-C	5.7	3.3	74	99	5
1ffu-C	5.6	4.4	163	287	12
1n63-C	5.6	5.7	171	287	13
1n5w-F	5.6	4.3	165	286	13
1ffu-F	5.6	4.4	166	287	11
2nzc-B	5.6	3.5	73	81	7
3bgu-A	5.6	3.1	83	106	4
2dcl-A	5.6	5.1	83	99	4
3kkf-A	5.6	3.6	83	105	6
3bb5-A	5.6	3.1	78	103	10
3bb5-B	5.6	3	76	103	9
3kg1-A	5.6	3.1	81	98	5
4hl9-I	5.6	2.7	75	95	12
4hl9-E	5.6	2.8	75	95	12
3kg1-C	5.6	3.1	81	97	5
1o51-A	5.6	2.7	72	89	6
2hzs-B	5.6	5.6	92	235	8
5uq4-A	5.6	3.2	75	86	9
1n61-C	5.5	8.9	176	287	11
3ce8-A	5.5	3.9	76	90	5
1zxi-C	5.5	8.9	177	287	11
1n60-F	5.5	8.5	173	286	12
1n61-F	5.5	8.9	177	286	11
3bb5-D	5.5	3.2	78	108	10
1iuj-B	5.5	2.9	74	103	5
2b7b-B	5.5	3.6	73	90	14
1ffv-C	5.5	8.5	181	287	10
3hx9-B	5.5	3.3	75	98	8
1f60-B	5.5	3.6	73	90	14
1ijf-B	5.5	3.6	73	90	14
1g7c-B	5.5	3.6	73	90	14
1ije-B	5.5	3.6	73	90	14
1r8h-D	5.5	3.6	75	87	9
1rjj-A	5.5	3.8	88	110	9
3kg0-A	5.5	3.1	81	97	5
1xbw-D	5.5	3.3	78	98	3
3kg0-C	5.5	3.2	82	97	5
4zos-B	5.5	2.8	76	97	5
2omo-E	5.5	2.9	77	95	1
2go8-A	5.5	3.9	80	89	6
1zzf-B	5.5	3	75	81	5
1zzf-A	5.5	3	75	81	5
1jro-A	5.4	4.6	164	449	12
1jro-C	5.4	4.6	165	449	12
4zoh-B	5.4	4.7	163	274	14
2ayb-A	5.4	3.7	77	87	9
1jro-G	5.4	4.5	165	449	12
4dn9-A	5.4	3.4	79	98	8
3kg1-B	5.4	3.9	85	98	5
2b7c-B	5.4	3.7	73	90	14
2aye-E	5.4	3.8	75	87	9
1r8h-F	5.4	3.6	74	83	9
1ffv-F	5.4	8.5	180	287	10
1rjj-B	5.4	3.8	88	110	9
1r8h-E	5.4	3.6	75	87	9
2w54-E	5.4	5.1	175	449	12
4zos-D	5.4	2.8	76	98	5
5uq4-B	5.4	3.2	76	90	9
1q5y-B	5.4	3.5	74	83	5
3bf4-B	5.4	3.8	83	111	4
1tz0-C	5.4	3.8	78	101	4
1jrp-G	5.3	4.5	165	449	12
2qyc-A	5.3	3.5	80	102	10
3fgv-A	5.3	2.9	77	94	6
4kia-A	5.3	3.5	87	153	11
2aye-C	5.3	3.6	75	87	9
2ayg-B	5.3	3.8	76	87	8
2aye-A	5.3	3.4	74	86	9
1r8h-A	5.3	3.6	75	87	9
2w54-G	5.3	5	175	449	13
1jrp-E	5.3	10.8	178	449	11
2n51-A	5.3	11.2	98	133	10
3kg0-B	5.3	3.1	79	98	5
1r8h-C	5.3	3.6	74	83	9
2aye-F	5.3	3.7	75	86	8
1jro-E	5.3	10.8	180	449	11
2w54-C	5.3	5	175	449	13
3lgn-A	5.3	3.4	77	110	8
3qgp-A	5.3	3.4	77	110	8
4fni-A	5.3	3.3	77	110	8
3kng-B	5.3	3.6	81	98	5
2hza-A	5.3	11	89	131	6
3bkt-A	5.3	3.6	75	83	5
2zdp-B	5.3	3.4	77	110	8
2zdo-D	5.3	3.4	77	109	1
3bkt-B	5.3	3.6	75	83	5
1a7g-E	5.3	3	71	82	10
4wk1-A	5.3	3.3	77	92	4
3ax7-A	5.2	3.7	179	1225	9
2w3s-A	5.2	5	174	449	13
2w55-E	5.2	4.5	165	448	12
1jrp-A	5.2	10.8	180	449	9
3m05-B	5.2	3.5	75	100	5
1r8h-B	5.2	3.7	76	87	9
2ayg-A	5.2	3.8	76	87	8
3fgv-B	5.2	2.9	77	94	6
3lgm-A	5.2	3.3	76	110	8
4fnh-B	5.2	3.2	76	110	8
4fni-B	5.2	3.4	77	110	8
2zdo-B	5.2	3.4	77	108	1
2zdo-A	5.2	3.3	75	108	1
2zdo-C	5.2	3.3	75	108	1
3bf4-A	5.2	4.6	88	115	5
3mi7-X	5.2	3	69	81	7
2q79-A	5.2	2.9	66	73	8
4akx-A	5.2	3.4	87	121	6
3l7p-D	5.2	3.8	73	90	1
1q5y-A	5.2	3.7	75	84	5
1f9f-D	5.2	3.2	73	82	10
1fo4-A	5.1	4.6	187	1299	10
1usm-A	5.1	2.6	61	77	8
2zdp-A	5.1	3.3	78	110	8
1tuv-A	5.1	3.4	74	103	4
2ayb-B	5.1	4.1	79	87	9
2aye-D	5.1	4.1	79	87	9
2w3s-G	5.1	5	175	449	13
5b0f-B	5.1	3.3	78	100	6
5b08-A	5.1	3.3	77	100	6
5b0f-A	5.1	3.1	76	100	7
5b0d-B	5.1	3.3	75	98	8
2w55-C	5.1	5	175	448	13
3qgp-B	5.1	3.4	77	110	8
3kng-A	5.1	3.6	81	98	5
1sqe-B	5.1	3.5	76	106	7
1s7i-A	5.1	5	83	124	4
2hzv-E	5.1	8.6	96	131	4
2op5-A	5.1	3.2	81	111	7
2hzv-A	5.1	8.5	97	131	4
2hzv-C	5.1	10.4	102	131	7
4fnh-A	5.1	3.2	76	110	8
2jdj-A	5.1	4.6	85	105	8
2hzv-D	5.1	11.5	85	131	6
2hzv-B	5.1	11.8	84	131	5
2hzv-F	5.1	11.6	85	131	5
2hzv-H	5.1	11.8	84	131	5
1xbw-C	5.1	3.3	74	90	1
1by9-A	5.1	2.9	65	72	6
2jdj-B	5.1	4.7	85	105	7
4uhx-A	5	4.6	184	1290	11
1v97-A	5	5.1	176	1298	9
1v97-B	5	5	175	1296	9
1jj4-B	5	3.1	68	76	12
2okq-A	5	3.5	86	127	5
1r8p-A	5	2.9	72	81	8
1tr0-W	5	3.4	81	106	11
1tr0-V	5	3.4	81	106	11
1tr0-X	5	3.4	82	106	11
1tr0-Y	5	3.5	82	106	11
1si9-B	5	3.5	82	106	11
1tr0-U	5	3.5	82	106	11
2aye-B	5	4.1	79	87	9
5b0c-A	5	3.2	74	100	5
5b0e-A	5	3.4	77	100	6
5b0c-B	5	3.2	74	100	7
3m05-A	5	3.4	75	99	5
5b0b-B	5	3	70	92	7
3lgm-B	5	3.4	76	110	8
4nl5-B	5	4.1	78	100	8
3lgn-B	5	3.4	75	109	8
3bku-C	5	4	76	83	7
3bkt-C	5	3.8	75	82	5
1jyo-A	5	3.6	91	130	8
2hzv-G	5	11.7	101	131	11
1tr0-A	5	3.5	82	106	11
2hza-B	5	10.4	99	126	5
3gz7-B	5	3.3	77	98	8
1tr0-D	5	3.4	81	106	11
1tr0-E	5	3.5	82	106	11
1tr0-P	5	3.5	82	106	11
1tr0-R	5	3.4	81	106	11
1tr0-I	5	3.5	81	106	10
1tr0-J	5	3.4	82	106	11
1tr0-M	5	3.4	82	106	11
1tr0-C	5	3.5	82	106	11
1tr0-B	5	3.4	82	106	11
1tr0-K	5	3.5	82	106	11
1tr0-T	5	3.4	82	106	11
1tr0-H	5	3.5	82	106	11
1tr0-F	5	3.5	82	106	11
1tr0-S	5	3.5	82	106	11
1tr0-O	5	3.4	82	106	11
1tr0-L	5	3.5	82	106	11
2ril-A	5	3.4	77	95	6
2bop-A	4.9	3.4	73	85	8
3tvz-C	4.9	5.2	86	140	10
3tvz-B	4.9	5.8	82	138	11
1si9-C	4.9	3.4	82	106	11
4d3h-C	4.9	3.3	78	101	5
5b0g-A	4.9	3.2	74	100	7
5b0b-C	4.9	3.1	72	94	7
5b0b-D	4.9	3.2	72	94	7
5b0b-A	4.9	3.4	71	92	7
3gz7-A	4.9	3.4	79	99	8
1q5y-C	4.9	3.8	75	82	5
1q5y-D	4.9	3.7	72	80	7
1r8p-B	4.9	2.8	72	81	7
3cxj-A	4.9	3.8	86	144	7
1jyo-C	4.9	3.2	87	130	7
1tr0-G	4.9	3.5	82	106	11
1tr0-N	4.9	3.5	82	106	11
2e1q-A	4.8	2.8	63	1307	13
1dch-A	4.8	3	70	99	14
1x7v-B	4.8	3.1	74	98	9
3ax7-B	4.8	3.8	180	1218	9
3ax9-B	4.8	3.9	181	1218	9
4d3h-B	4.8	3.3	77	104	4
5b0d-A	4.8	3.5	77	100	8
5b09-A	4.8	3.4	74	96	7
3ax9-A	4.8	3.9	182	1225	9
1j27-A	4.8	3.5	75	98	1
4fpi-U	4.8	4.1	78	94	14
1b64-A	4.8	3.4	73	91	8
3bkt-D	4.8	3.3	71	79	4
1sqe-A	4.8	3.4	74	101	7
5b0a-A	4.8	3.3	73	95	7
1jjh-B	4.8	3.2	68	78	9
1s28-A	4.8	3	83	130	6
1jya-A	4.8	3.2	82	117	2
4d3h-A	4.8	3.5	79	103	5
2x3d-H	4.8	4.2	76	91	9
1vdv-A	4.7	11.7	212	1299	8
1z2l-A	4.7	15.8	145	411	5
4czd-B	4.7	4.7	105	159	10
1tz0-A	4.7	4	80	108	4
2raq-B	4.7	4.8	81	94	4
3bde-A	4.7	3.2	76	99	11
3l7p-C	4.7	3.9	75	91	0
3bpd-F	4.7	4	75	92	1
5b08-B	4.7	3.3	77	104	6
4d3g-A	4.7	2.9	67	78	3
4wk3-A	4.7	3	68	77	4
3bde-B	4.7	3.3	76	99	8
1dhm-B	4.7	3.1	70	83	11
1jj4-A	4.7	3.2	67	74	12
1f9f-A	4.7	3.2	68	76	9
3znu-A	4.7	4	77	94	14
1dhm-A	4.7	3.2	71	83	11
3zyv-B	4.6	3.8	174	1262	8
2ckj-A	4.6	2.9	64	1264	13
1dcp-A	4.6	3.4	72	99	14
2zom-C	4.6	4.2	77	109	9
2ifx-A	4.6	3.5	77	106	4
2op5-C	4.6	3.9	84	115	5
3gsd-A	4.6	3.9	75	105	4
3hx9-A	4.6	3.6	77	101	6
3bpd-A	4.6	4.2	75	91	4
2ibo-A	4.6	3.3	75	90	4
1xbw-B	4.6	3.3	71	96	1
2wvf-A	4.6	11.6	86	134	12
1jjh-A	4.6	3.3	69	77	10
1vdv-B	4.5	5	175	1296	9
2w55-G	4.5	4.5	166	448	12
3dfe-E	4.5	2.9	68	81	7
2j9e-B	4.5	5.5	81	119	1
2gw8-A	4.5	4.9	75	99	1
2e66-A	4.5	4.1	72	102	4
3dfe-B	4.5	2.9	69	83	7
1nza-A	4.5	3.9	73	103	3
1j2v-A	4.5	4.1	73	102	5
4rww-C	4.5	4.8	76	103	9
5b0e-B	4.5	3.3	78	104	6
2w3s-E	4.5	5.1	174	449	13
3bku-B	4.5	3.8	72	82	4
3eno-F	4.5	2.9	69	79	4
1jyo-D	4.5	3.2	88	130	8
1vqs-B	4.5	4	79	111	9
2hfo-A	4.4	4.2	93	150	2
3ahp-B	4.4	4	75	107	0
1vs5-F	4.4	4	81	100	4
2nuh-A	4.4	4	74	104	7
1p1l-A	4.4	4	73	102	1
2w54-A	4.4	5	171	449	12
2w3r-E	4.4	5	175	449	13
2w3r-C	4.4	5	175	449	13
4rle-A	4.4	4.7	78	116	5
4rwx-B	4.4	4.9	71	84	10
1jrp-C	4.4	11	181	449	9
2w55-A	4.4	5	173	448	13
2w3r-G	4.4	5	175	449	13
4wxa-C	4.4	3.1	68	78	7
4rwx-A	4.4	2.9	64	76	8
1ztp-A	4.4	4.6	135	228	8
1vqy-B	4.4	3.5	83	114	5
3aqo-D	4.3	3.7	70	221	6
1f93-A	4.3	3.6	73	103	12
1kr4-A	4.3	3.9	79	110	4
2eg1-A	4.3	3.4	72	95	1
1hwu-B	4.3	4.6	75	101	3
1n5t-A	4.3	4.2	85	112	13
2w3s-C	4.3	5	176	449	13
2w3r-A	4.3	5	176	449	13
3icl-A	4.3	3.6	89	162	8
1jyo-B	4.3	3.7	95	130	7
